HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice,Parkinglot_Group
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,242920,"(0, 200]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,370796,"(600, 800]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,212389,
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,486725,"(1200, 1400]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75920,"(600, 800]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,207079,"(400, 600]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,181415,"(400, 600]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,123008,"(400, 600]"
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,150442,"(0, 200]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,141592,"(600, 800]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,357522,"(1200, 1400]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,146256,"(800, 1000]"
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,406194,"(400, 600]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,205309,"(600, 800]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,255309,"(1200, 1400]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,236283,"(600, 800]"
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,293805,"(400, 600]"
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,283185,"(1000, 1200]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,207079,"(1200, 1400]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1796,371681,
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,149274,"(800, 1000]"
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,69911,"(0, 200]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,472566,"(1200, 1400]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,149557,"(400, 600]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,336283,
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,114159,
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,250442,"(400, 600]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,340707,"(1200, 1400]"
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,351327,"(1000, 1200]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,296460,"(600, 800]"
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,105309,"(0, 200]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,231858,"(600, 800]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,161061,"(600, 800]"
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,73008,
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,141592,"(0, 200]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75504,"(600, 800]"
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,451,46902,"(0, 200]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,214159,"(0, 200]"
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,43185,
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,262831,
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,176991,
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,194690,"(600, 800]"
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,135,57522,"(200, 400]"
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,914,382300,"(1200, 1400]"
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,170353,"(400, 600]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,205309,"(600, 800]"
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,86725,"(0, 200]"
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,370796,"(1000, 1200]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,245132,"(1200, 1400]"
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,371681,"(200, 400]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,234513,"(600, 800]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,161504,"(400, 600]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,814,165486,"(0, 200]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,157522,
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75088,"(600, 800]"
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,376106,"(200, 400]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75088,"(600, 800]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,176991,
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,100000,"(0, 200]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,360176,"(600, 800]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,206194,"(600, 800]"
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,44247,"(0, 200]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,196460,"(600, 800]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,143238,"(800, 1000]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,105309,"(400, 600]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,232743,"(0, 200]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,190265,"(400, 600]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,149274,"(800, 1000]"
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,78761,
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,367256,"(200, 400]"
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,201566,"(200, 400]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,85398,"(400, 600]"
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,910,376106,"(1200, 1400]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,153982,
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,168141,
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,279646,"(1200, 1400]"
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,793,169911,"(0, 200]"
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,314159,"(400, 600]"
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,115044,
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,353982,"(1200, 1400]"
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,295575,"(400, 600]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,212389,"(1200, 1400]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,157522,"(400, 600]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,120353,"(400, 600]"
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,212389,"(200, 400]"
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,346902,"(400, 600]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,161946,"(600, 800]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,144752,"(800, 1000]"
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,644,265486,"(1000, 1200]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,113716,"(600, 800]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,172566,"(600, 800]"
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,68141,"(0, 200]"
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,200000,"(400, 600]"
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,149619,"(200, 400]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,61946,"(400, 600]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,203982,"(600, 800]"
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,81858,
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,914,192920,"(200, 400]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,259026,"(800, 1000]"
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,354867,"(1000, 1200]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,176991,"(400, 600]"
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,175221,"(200, 400]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,636,193805,"(0, 200]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,426,102601,"(800, 1000]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,361946,"(1200, 1400]"
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,168141,"(400, 600]"
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,163716,"(200, 400]"
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,276106,"(1000, 1200]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,170796,
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,173008,"(400, 600]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,227433,"(400, 600]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,263716,"(1200, 1400]"
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,644,287610,"(1000, 1200]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,149274,"(800, 1000]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,460176,"(1200, 1400]"
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,265486,"(200, 400]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,150442,"(400, 600]"
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,168141,"(0, 200]"
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,341150,"(1000, 1200]"
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,779,194690,
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,378761,"(400, 600]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,442477,"(600, 800]"
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,871,115044,
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,342477,"(400, 600]"
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,100000,"(0, 200]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,181415,"(400, 600]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,370796,"(600, 800]"
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,38761,
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,149274,"(800, 1000]"
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,349557,"(1000, 1200]"
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,287610,"(400, 600]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,137168,"(600, 800]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,191150,"(1200, 1400]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,529203,"(1200, 1400]"
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,96460,
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,218584,"(400, 600]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1334,315929,"(600, 800]"
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,201327,"(0, 200]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,168141,"(400, 600]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,164601,"(400, 600]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,178761,"(400, 600]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,210619,"(600, 800]"
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,846,330973,"(1000, 1200]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,383185,"(600, 800]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,200884,"(400, 600]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,149274,"(800, 1000]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,343628,"(1200, 1400]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,214159,
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,216814,"(400, 600]"
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,194690,
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,256637,"(400, 600]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,356637,"(1200, 1400]"
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,369026,"(200, 400]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,462831,"(600, 800]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,157522,"(400, 600]"
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,250000,"(200, 400]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,327433,"(600, 800]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,130973,"(600, 800]"
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,63274,"(0, 200]"
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,384070,"(1000, 1200]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1519,398230,"(1200, 1400]"
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,84070,"(0, 200]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,146256,"(800, 1000]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,189380,
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,907,349557,"(1000, 1200]"
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,430,84955,"(0, 200]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,88495,"(600, 800]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,636,253982,"(0, 200]"
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,371681,"(400, 600]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,88495,"(400, 600]"
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,300884,"(400, 600]"
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,265486,"(400, 600]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,168141,"(400, 600]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,309734,"(800, 1000]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,325663,"(1200, 1400]"
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,194690,"(0, 200]"
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,230088,"(400, 600]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,238053,"(1200, 1400]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,170796,
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,451327,"(1200, 1400]"
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,290265,"(1000, 1200]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,144752,"(800, 1000]"
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,212389,"(400, 600]"
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,94690,
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,914,210619,"(400, 600]"
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,53097,"(0, 200]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,258079,"(800, 1000]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,308849,"(1200, 1400]"
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,217699,"(400, 600]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,353982,"(600, 800]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,185840,"(600, 800]"
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,257522,"(1000, 1200]"
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,211061,"(400, 600]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,170796,"(600, 800]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,318584,"(600, 800]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,198230,
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,295575,"(400, 600]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,92035,"(400, 600]"
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,213,74955,"(0, 200]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,367256,"(800, 1000]"
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,1327,166371,
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,210619,"(400, 600]"
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,70796,
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,162831,
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,176106,"(400, 600]"
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,58849,
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,367256,"(1000, 1200]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,398230,"(1200, 1400]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,188495,"(600, 800]"
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,84070,"(0, 200]"
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,402654,"(400, 600]"
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,243362,"(400, 600]"
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,37168,
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,1448,123893,"(0, 200]"
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,644,247787,"(1200, 1400]"
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,181415,"(400, 600]"
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,207522,"(200, 400]"
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,910,175221,"(0, 200]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,225663,
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,145628,"(200, 400]"
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,314159,"(400, 600]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,300884,"(800, 1000]"
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,78761,
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,278761,"(600, 800]"
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,167964,"(0, 200]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,276991,"(600, 800]"
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,235840,"(400, 600]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,300884,"(600, 800]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,281415,"(800, 1000]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,371681,"(600, 800]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,147761,"(800, 1000]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,232743,
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,430,88495,"(0, 200]"
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,247787,"(400, 600]"
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,204424,"(400, 600]"
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,264424,"(400, 600]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,176991,
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,793,97345,"(0, 200]"
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,910,94690,"(0, 200]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,346902,"(800, 1000]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,153982,"(600, 800]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,133628,
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,1192,245132,"(0, 200]"
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,88495,"(0, 200]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,400884,"(1200, 1400]"
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,107079,"(0, 200]"
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,225663,"(400, 600]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,261061,"(600, 800]"
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,362831,"(400, 600]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,426,103663,"(800, 1000]"
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,346902,"(1000, 1200]"
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,139823,
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,89380,
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,158407,
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,319469,"(1200, 1400]"
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,150442,
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,1085,515044,"(1000, 1200]"
